图号,钢号,C,Si,Mn,P,S,Al,Cr,Cu,N,Ni,W,V,Ti,B,Co,Mo,O,Sn,Nb,Ms/°C,Ms (K)
27,50,0.54,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,563.15
28,55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,593.15
30,65,0.64,0.22,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,553.15
31,70,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,553.15
32,75,0.75,0.33,0.7,0,0,0,0.17,0,0,0.2,0,0,0,0,0,0,0,0,0,230,503.15
33,85,0.82,0.21,0.5,0,0,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0,0,230,503.15
35,15Mn,0.16,0.41,1.22,0.012,0.021,0,0,0.08,0,0.02,0,0,0,0,0,0,0,0,0,420,693.15
36,15Mn,0.16,0.24,0.83,0.036,0.022,0.04,0.038,0,0,0.025,0,0,0,0,0,0,0,0,0,440,713.15
37,15Mn,0.17,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,678.15
38,20Mn,0.17,0.51,1.39,0.025,0.024,0.069,0,0,0.01,0,0,0,0,0,0,0,0,0,0,425,698.15
40,20Mn,0.19,0.42,1.2,0,0,0,0.08,0.21,0,0,0,0,0,0,0,0,0,0,0,420,693.15
41,20Mn,0.2,0.53,1.2,0,0,0,0.1,0.17,0,0,0,0,0,0,0,0,0,0,0,420,693.15
42,25Mn,0.23,0.45,1.32,0.029,0.022,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,405,678.15
43,30Mn,0.28,0.3,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,648.15
44,30Mn,0.3,0.46,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,618.15
45,35Mn,0.33,0.3,1.12,0,0,0,0.11,0.19,0,0,0,0,0,0,0,0,0,0,0,355,628.15
46,40Mn,0.4,0.17,1.42,0.026,0.017,0,0.06,0.14,0,0.05,0,0,0,0,0,0,0,0,0,320,593.15
47,45Mn,0.47,0.36,1.37,0,0,0,0.15,0.19,0,0,0,0,0,0,0,0,0,0,0,300,573.15
48,50Mn,0.5,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,593.15
49,50Mn,0.55,0.29,0.9,0.014,0.02,0.014,0.09,0.1,0,0.07,0,0,0,0,0,0.01,0,0.015,0,295,568.15
51,50Mn,0.56,0.28,1.47,0.031,0.027,0.004,0.18,0.09,0,0.07,0,0,0,0,0,0.008,0,0.015,0,270,543.15
53,60Mn,0.63,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,543.15
54,65Mn,0.64,0.1,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,543.15
56,08Mn2Si,0.07,0.8,1.45,0,0,0,0.16,0,0,0.12,0,0,0,0,0,0,0,0,0,300,573.15
57,08Mn2Si,0.09,0.83,2,0,0,0,0.17,0,0,0.24,0,0,0,0,0,0,0,0,0,365,638.15
60,10MoWVNb,0.11,0.5,0.6,0.021,0.003,0,0,0,0,0,0.66,0.44,0,0,0,0.7,0,0,0.067,470,743.15
61,12MnV,0.12,0.34,1.4,0.022,0.014,0.035,0.04,0.07,0,0.04,0,0.07,0,0,0,0.04,0,0,0,490,763.15
62,15MnNiMo,0.13,0.29,1.18,0.016,0.01,0.027,0.05,0.07,0,0.56,0,0,0,0,0,0.14,0,0,0,430,703.15
64,15MnTi,0.17,0.4,1.48,0,0.024,0,0,0,0,0,0,0,0.148,0,0,0,0,0,0,390,663.15
65,15MnNb,0.13,0.02,1.12,0.02,0.017,0,0.02,0.06,0,0,0,0,0,0,0,0,0,0,0.025,460,733.15
67,15MnVTiR,0.14,0.48,1.52,0.011,0.004,0,0,0.037,0,0,0,0.07,0.12,0,0,0,0,0,0,400,673.15
68,16Mn,0.19,0.53,1.38,0,0.022,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,386,659.15
69,16Mn,0.15,0.5,1.42,0.016,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,683.15
70,20Mn,0.18,0.44,1.4,0.012,0.012,0.008,0,0.07,0,0,0,0,0,0,0,0,0,0,0,420,693.15
71,18MnMoNb,0.19,0.27,1.3,0,0,0,0.24,0,0,0.25,0,0,0,0,0,0.53,0,0,0.04,370,643.15
72,20Mn2,0.2,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,673.15
73,20Mn2,0.23,0.4,1.53,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,400,673.15
74,30Mn2,0.29,0.26,1.67,0,0,0,0.12,0.11,0,0,0,0,0,0,0,0,0,0,0,380,653.15
75,30Mn2,0.33,0.23,1.54,0,0,0,0.15,0,0,0.18,0,0,0,0,0,0,0,0,0,340,613.15
76,35Mn2,0.35,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,598.15
77,40Mn2,0.4,0.4,2.06,0,0,0,0.11,0,0,0.05,0,0,0,0,0,0,0,0,0,300,573.15
78,40Mn2,0.4,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,618.15
79,40Mn2,0.42,0.27,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,613.15
80,40Mn2,0.43,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,603.15
